table_name,rls_enabled,force_rls
club_members,true,false
fund_event_participants,true,false
fund_events,true,false
gh_clubs,true,false
gh_draws,true,false
gh_matches,true,false
gh_pairs,true,false
gh_rounds,true,false
gh_secrets,true,false
gh_settings,true,false
group_bank_accounts,true,false
group_members,true,false
groups,true,false
pickhub_mutation_idempotency,true,false
pickhub_schema_migrations,true,false
quy_pickleball,true,false
ranking_snapshots,true,false
tournament_entrant_members,true,false
tournament_entrants,true,false
tournament_games,true,false
tournament_matches,true,false
tournament_stage_entrants,true,false
tournament_stages,true,false
tournaments,true,false
